Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
27,TASC,RSI14_OBV_RoC Strategy,2024-06-26T00:00:00Z,2024-09-25T00:00:00Z,9.25,10.6375,,TAKE_PROFIT,542,652.025,12.87696257529377,91,LONG,100,TAKE_PROFIT
28,BMNS,RSI14_OBV_RoC Strategy,2024-09-04T00:00:00Z,2024-09-26T00:00:00Z,1.45,1.6675,,TAKE_PROFIT,2701,487.4675,12.2897679285003,22,LONG,100,TAKE_PROFIT
29,NDSA,RSI14_OBV_RoC Strategy,2024-08-27T00:00:00Z,2024-10-07T00:00:00Z,0.77,0.7315,,STOP_LOSS,7924,-405.074,-6.58498442651199,41,LONG,100,STOP_LOSS
30,BINT,RSI14_OBV_RoC Strategy,2024-09-02T00:00:00Z,2024-10-10T00:00:00Z,0.34,0.323,,STOP_LOSS,15498,-363.466,-6.83294105261575,38,LONG,100,STOP_LOSS
31,HASH,RSI14_OBV_RoC Strategy,2024-08-13T00:00:00Z,2024-10-10T00:00:00Z,24,27.6,,TAKE_PROFIT,166,497.6,12.33515121467526,58,LONG,100,TAKE_PROFIT
32,IIDP,RSI14_OBV_RoC Strategy,2024-10-02T00:00:00Z,2024-10-13T00:00:00Z,3,3.45,,TAKE_PROFIT,1427,542.15,12.5178942507504,11,LONG,100,TAKE_PROFIT
33,IMAP,RSI14_OBV_RoC Strategy,2024-10-02T00:00:00Z,2024-10-14T00:00:00Z,2.05,2.3575,,TAKE_PROFIT,2223,583.5725,12.66667028423212,12,LONG,100,TAKE_PROFIT
34,NDSA,RSI14_OBV_RoC Strategy,2024-10-14T00:00:00Z,2024-10-16T00:00:00Z,0.8,0.76,,STOP_LOSS,6534,-361.36,-6.84757068142197,2,LONG,100,STOP_LOSS
35,BBOB,RSI14_OBV_RoC Strategy,2024-09-02T00:00:00Z,2024-10-16T00:00:00Z,2.95,3.3925,,TAKE_PROFIT,1426,531.005,12.47456950219654,44,LONG,100,TAKE_PROFIT
36,SAEI,RSI14_OBV_RoC Strategy,2024-10-15T00:00:00Z,2024-10-21T00:00:00Z,2.85,2.7,,Sell,1832,-374.8,-7.11033540749734,6,LONG,100,SIGNAL
37,BMNS,RSI14_OBV_RoC Strategy,2024-10-22T00:00:00Z,2024-10-30T00:00:00Z,1.91,1.88,,Sell,2481,-174.43,-3.64252585769445,8,LONG,100,SIGNAL
38,HISH,RSI14_OBV_RoC Strategy,2024-09-30T00:00:00Z,2024-10-31T00:00:00Z,9.6,11.04,,TAKE_PROFIT,505,627.2,12.80522662311147,31,LONG,100,TAKE_PROFIT
39,AISP,RSI14_OBV_RoC Strategy,2024-10-20T00:00:00Z,2024-10-31T00:00:00Z,8.85,8.88,,Sell,584,-82.48,-1.58056109152231,11,LONG,100,SIGNAL
40,HASH,RSI14_OBV_RoC Strategy,2024-10-16T00:00:00Z,2024-10-31T00:00:00Z,27,25.65,,STOP_LOSS,192,-359.2,-6.86282002292702,15,LONG,100,STOP_LOSS
41,IMAP,RSI14_OBV_RoC Strategy,2024-10-31T00:00:00Z,2024-11-05T00:00:00Z,2.5,2.57,,Sell,1438,0.66,0.01810699588477,5,LONG,100,SIGNAL
42,SBPT,RSI14_OBV_RoC Strategy,2024-10-29T00:00:00Z,2024-11-07T00:00:00Z,63,59.85,,STOP_LOSS,56,-276.4,-7.72498602571269,9,LONG,100,STOP_LOSS
43,TASC,RSI14_OBV_RoC Strategy,2024-10-21T00:00:00Z,2024-11-10T00:00:00Z,10.32,11.868,,TAKE_PROFIT,666,930.968,13.4472318838905,20,LONG,100,TAKE_PROFIT
44,IHFI,RSI14_OBV_RoC Strategy,2024-11-04T00:00:00Z,2024-11-14T00:00:00Z,1.5,1.48,,Sell,2699,-153.98,-3.75698426253507,10,LONG,100,SIGNAL
45,SAEI,RSI14_OBV_RoC Strategy,2024-10-28T00:00:00Z,2024-11-14T00:00:00Z,2.8,2.66,,STOP_LOSS,1991,-378.74,-6.73339496515432,17,LONG,100,STOP_LOSS
46,SMOF,RSI14_OBV_RoC Strategy,2024-10-28T00:00:00Z,2024-11-24T00:00:00Z,8.26,8.08,,Weak Sell,620,-211.6,-4.09189356435644,27,LONG,100,SIGNAL
47,BROI,RSI14_OBV_RoC Strategy,2024-11-13T00:00:00Z,2024-11-26T00:00:00Z,0.89,0.8455,,STOP_LOSS,4358,-293.931,-7.48178749790003,13,LONG,100,STOP_LOSS
48,SKTA,RSI14_OBV_RoC Strategy,2024-11-27T00:00:00Z,2024-12-01T00:00:00Z,4.43,4.2085,,STOP_LOSS,1259,-378.8685,-6.73260332979705,4,LONG,100,STOP_LOSS
49,NDSA,RSI14_OBV_RoC Strategy,2024-10-24T00:00:00Z,2024-12-05T00:00:00Z,0.78,0.7,,Weak Sell,5708,-556.64,-12.36362344077615,42,LONG,100,SIGNAL
50,IIEW,RSI14_OBV_RoC Strategy,2024-11-05T00:00:00Z,2024-12-12T00:00:00Z,9,8.55,,STOP_LOSS,595,-367.75,-6.80388529139685,37,LONG,100,STOP_LOSS
51,HISH,RSI14_OBV_RoC Strategy,2024-11-27T00:00:00Z,2024-12-12T00:00:00Z,10.5,10.35,,Weak Sell,366,-154.9,-3.97893655278705,15,LONG,100,SIGNAL
52,IMAP,RSI14_OBV_RoC Strategy,2024-11-07T00:00:00Z,2024-12-16T00:00:00Z,2.6,2.47,,STOP_LOSS,1498,-294.74,-7.47160819306429,39,LONG,100,STOP_LOSS
53,TASC,RSI14_OBV_RoC Strategy,2024-12-12T00:00:00Z,2024-12-19T00:00:00Z,12.1,12.1,,Weak Sell,398,-100,-2.05516050803568,7,LONG,100,SIGNAL
54,HKAR,RSI14_OBV_RoC Strategy,2024-12-04T00:00:00Z,2024-12-22T00:00:00Z,0.89,0.8455,,STOP_LOSS,4144,-284.408,-7.60823506751985,18,LONG,100,STOP_LOSS
55,BASH,RSI14_OBV_RoC Strategy,2024-12-12T00:00:00Z,2024-12-24T00:00:00Z,0.29,0.3335,,TAKE_PROFIT,13292,478.202,12.24689347142403,12,LONG,100,TAKE_PROFIT
56,IHFI,RSI14_OBV_RoC Strategy,2024-12-02T00:00:00Z,2024-12-29T00:00:00Z,1.45,1.4,,Weak Sell,2708,-235.4,-5.91962983453201,27,LONG,100,SIGNAL
