Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
BMNS,2023-09-25,2023-10-11 00:00:00,0.95,0.9,-0.0499999999999999,-5.263157894736835,0.9473684210526316,Closed,0.95057,0.89946,-0.0511099999999998,-5.376773935638605,0.946232260643614,True,1,0.946232260643614,,,,
IBSD,2023-09-25,2023-10-05 00:00:00,3.45,3.47,0.02,0.5797101449275368,1.0057971014492757,Closed,3.45207,3.467918,0.015848,0.4590868667205498,1.0045908686672056,True,4,,,,1.0045908686672056,
TASC,2023-09-26,2023-10-09 00:00:00,8.8,8.8,0.0,0.0,1.0,Closed,8.805280000000002,8.79472,-0.0105600000000016,-0.1199280431741146,0.9988007195682588,True,5,,,,,0.9988007195682588
BNOI,2023-10-01,2023-10-08 00:00:00,2.47,2.49,0.02,0.8097165991902842,1.008097165991903,Closed,2.4714820000000004,2.488506,0.0170239999999997,0.6888174787435112,1.0068881747874352,True,3,,,1.0068881747874352,,
IBSD,2023-10-08,2023-10-24 00:00:00,3.6,3.52,-0.08,-2.222222222222224,0.9777777777777776,Closed,3.60216,3.517888,-0.0842719999999999,-2.339485197770224,0.9766051480222978,True,4,,,,0.9766051480222978,
BNOI,2023-10-10,2023-10-11 00:00:00,2.46,2.42,-0.04,-1.6260162601626031,0.983739837398374,Closed,2.461476,2.418548,-0.0429279999999998,-1.7439942538541855,0.982560057461458,True,3,,,0.982560057461458,,
TASC,2023-10-10,2023-10-11 00:00:00,8.78,8.7,-0.08,-0.9111617312072902,0.9908883826879272,Closed,8.785267999999999,8.69478,-0.0904879999999987,-1.029997035946983,0.9897000296405302,True,5,,,,,0.9897000296405302
BNOI,2023-10-12,2023-10-19 00:00:00,2.39,2.5,0.1099999999999998,4.6025104602510405,1.0460251046025104,Closed,2.3914340000000003,2.4985,0.1070659999999996,4.477062716345074,1.0447706271634507,True,1,1.0447706271634507,,,,
BMNS,2023-10-12,2023-10-26 00:00:00,0.91,0.91,0.0,0.0,1.0,Closed,0.910546,0.909454,-0.001092,-0.1199280431741057,0.9988007195682588,True,3,,,0.9988007195682588,,
TASC,2023-10-12,2023-10-24 00:00:00,8.7,8.6,-0.0999999999999996,-1.1494252873563178,0.9885057471264368,Closed,8.705219999999999,8.59484,-0.1103799999999992,-1.2679748472755343,0.9873202515272448,True,5,,,,,0.9873202515272448
