Trade_ID,Ticker,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Signal,Exit_Signal,Quantity,PnL,PnL_Percent,Holding_Days,Trade_Type,Commission,Exit_Reason
30,IBPM,OBV Strategy,2024-08-11T00:00:00Z,2024-10-09T00:00:00Z,2.81,2.8,,Weak Sell,1490,-114.9,-2.71188840897826,59,LONG,100,SIGNAL
31,IIEW,OBV Strategy,2024-09-10T00:00:00Z,2024-10-09T00:00:00Z,4.6,9.4,,Sell,1519,7191.2,102.18546622332111,29,LONG,100,SIGNAL
32,BTIB,OBV Strategy,2024-09-04T00:00:00Z,2024-10-14T00:00:00Z,0.78,0.76,,Strong Sell,5410,-208.2,-4.87610660920886,40,LONG,100,SIGNAL
33,HISH,OBV Strategy,2024-09-25T00:00:00Z,2024-10-16T00:00:00Z,9.6,9.55,,Weak Sell,444,-122.2,-2.83368889713385,21,LONG,100,SIGNAL
34,SAEI,OBV Strategy,2024-09-18T00:00:00Z,2024-10-21T00:00:00Z,2.65,2.7,,Sell,1660,-17,-0.38210833895257,33,LONG,100,SIGNAL
35,BMNS,OBV Strategy,2024-09-25T00:00:00Z,2024-10-29T00:00:00Z,1.63,1.91,,Weak Sell,4962,1289.36,15.84357942802093,34,LONG,100,SIGNAL
36,AISP,OBV Strategy,2024-10-21T00:00:00Z,2024-10-31T00:00:00Z,9.16,8.88,,Sell,754,-311.12,-4.47227397134249,10,LONG,100,SIGNAL
37,HASH,OBV Strategy,2024-07-09T00:00:00Z,2024-10-31T00:00:00Z,19,21.28,,TAKE_PROFIT,232,428.96,9.62225213100045,114,LONG,100,TAKE_PROFIT
38,IMAP,OBV Strategy,2024-10-16T00:00:00Z,2024-11-04T00:00:00Z,2.29,2.5648,,TAKE_PROFIT,3167,770.2916,10.54842839986142,19,LONG,100,TAKE_PROFIT
39,IMIB,OBV Strategy,2024-09-18T00:00:00Z,2024-11-06T00:00:00Z,2.1,2.352,,TAKE_PROFIT,2073,422.396,9.59271455499285,49,LONG,100,TAKE_PROFIT
